depth;Ed_380;Ed_443;Ed_490;Ed_555;RamsesPAR
155;0.000232912;0.003935219;0.005920872;3.50E-05;1.781087275
156.3999939;0.00020926;0.003696224;0.00561341;3.21E-05;1.67784073
157.6000061;0.000187994;0.003461527;0.005305652;2.99E-05;1.57510735
159.1000061;0.000170822;0.00328376;0.005089199;2.81E-05;1.499729921
160.6999969;0.000148735;0.003021613;0.004740427;2.53E-05;1.385292562
162.5;0.000131818;0.002819909;0.004474201;2.31E-05;1.297485963
164.3999939;0.000117032;0.002622611;0.004208066;2.16E-05;1.211278612
166;0.000102646;0.002422305;0.003931757;1.94E-05;1.123079333
167.8000031;9.00E-05;0.002235135;0.003667348;1.74E-05;1.040206215
169.5;7.89E-05;0.002066435;0.003427849;1.61E-05;0.965427519
171.3000031;7.03E-05;0.001921372;0.003219984;1.48E-05;0.901192273
173;6.23E-05;0.001772982;0.003003608;1.37E-05;0.835090721
175;5.45E-05;0.001628685;0.002791641;1.29E-05;0.770704535
176.6999969;4.92E-05;0.001522317;0.00263612;1.17E-05;0.723506247
178.5;4.20E-05;0.001384106;0.002423634;1.05E-05;0.660598922
180.3000031;3.70E-05;0.001272604;0.002250376;9.55E-06;0.610012884
182.3000031;3.20E-05;0.001165477;0.002087261;8.99E-06;0.561748287
184.5;2.80E-05;0.001069371;0.001941317;8.10E-06;0.51851827
186.3999939;2.44E-05;0.000979083;0.001799662;7.04E-06;0.477513522
188.3999939;2.04E-05;0.000900534;0.001677783;7.07E-06;0.441881336
190.3999939;1.79E-05;0.000827176;0.001562825;5.85E-06;0.408693821
192.3999939;1.64E-05;0.000758976;0.001453317;5.96E-06;0.37745863
194.3999939;1.40E-05;0.000695898;0.001351501;5.28E-06;0.348508774
196.6999969;1.09E-05;0.000635904;0.001256336;4.44E-06;0.32056294
197.3999939;1.17E-05;0.000616295;0.001224425;4.82E-06;0.312201132
206.1999969;5.90E-06;0.000424893;0.000899588;3.52E-06;0.222587047
213.8999939;3.53E-06;0.000311248;0.000702393;2.62E-06;0.169232786
221;2.63E-06;0.000226728;0.000545253;1.94E-06;0.128524557
229.6000061;1.40E-06;0.000159196;0.000409816;1.44E-06;0.094179094
239.1000061;9.30E-07;0.000108903;0.000299307;1.63E-06;0.067268113
247.6000061;-3.06E-07;7.51E-05;0.000222504;9.17E-07;0.049060154
254.6999969;-1.75E-07;5.64E-05;0.000175509;1.06E-06;0.038164657
